Title,Price,Shipping,Condition,Is Auction?,No Best Offer
New Nintendo 3DS XL LL Metallic Blue Console NTSC-J From Japan Used,C $219.24,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL Handheld Gaming Console Metallic Red Great Condition TESTED,C $246.64,+C $38.07 shipping,Pre-Owned,True,True
Nintendo New 3DS XL With Charger 4GB Handheld Gaming System - Black,C $315.14,+C $45.94 shipping,Pre-Owned,False,True
Nintendo NEW 3DS XL LL Red 4GB Console w/ Extras (USA Seller),C $280.89,+C $38.56 shipping,Pre-Owned,False,True
IPS Nintendo New 3DS LL XL Pearl White IPS Screen TOP Japan ver S8195,C $228.82,+C $9.59 shipping,Pre-Owned,False,True
[ NEAR MINT ] NINTENDO NEW 3DS XL LL Pearl White Console Japan Version 4282,C $273.91,+C $13.69 shipping,Pre-Owned,False,True
MINTY IPS Nintendo New 3DS XL Fire Emblem Fates Limited Edition Console,"C $1,094.83",+C $101.67 shipping,Brand New,False,False
New Nintendo 3DS XL LL Hot Pink Handheld Console w/ Accessories - USA Seller,C $280.90,+C $22.87 shipping,Pre-Owned,False,True
Nintendo “New” 3DS XL Handheld Console RED-001 W/ Charger With Stylus Tested,C $301.44,+C $45.53 shipping,Pre-Owned,False,True
NEW Nintendo 3DS LL XL Pikachu Yellow Pokemon Limited Console Japanese with Box ,C $698.81,Free shipping,Brand New,False,True
New Nintendo 3DS XL - Black/Gray (red-001),C $308.31,+C $28.68 shipping,Pre-Owned,False,True
New Nintendo 3DS OEM Black Friday Mario *Authentic Back plate ONLY,C $38.37,+C $15.72 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Black System w/Charger US Version FREE Ship!,C $294.54,+C $28.28 shipping,Pre-Owned,False,True
"Galaxy N3DS New Nintendo 3DS XL 100+ games /w charger, new glass lens, not LL",C $349.95,+C $10.00 shipping,Pre-Owned,False,True
New Nintendo 3DS XL Galaxy Edition *BUNDLE* Comes with 6 Games,C $376.82,+C $42.79 shipping,Pre-Owned,False,True
Nintendo New 3DS XL 4GB Handheld Gaming System - Grey,C $232.94,+C $55.78 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Black POKÉMON,C $411.07,+C $42.67 shipping,Pre-Owned,False,False
New Nintendo 3DS LL (XL) metalic black console handheld System Japan Import New,C $437.03,Free shipping,Brand New,False,True
“New” Nintendo 3DS XL System - Metallic Red With Charger 💣,C $215.81,+C $37.33 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL  Pearl White Console Stylus Working Tested Japanese ver,C $239.33,Free shipping,Pre-Owned,False,True
Broken “New” Japanese JP Blue Nintendo 3DS XL Game Console System Parts Repair,C $137.01,+C $23.62 shipping,Parts Only,False,True
New Nintendo 3DS XL POKEMON Pikachu Yellow Edition US CONSOLE -Ships in a box,"C $1,027.69",+C $72.38 shipping,Brand New,False,False
NEW Nintendo 3DS XL LL Pearl White Console New,C $478.20,Free shipping,Brand New,False,True
Animal Crossing New Leaf Nintendo 3DS XL Special Edition Console UK Pal,C $275.11,+C $51.60 shipping estimate,Pre-Owned,True,True
"USED Nintendo New 3DS XL Black With Charger Stylus, 128GB Micro-SD Included",C $438.48,+C $32.52 shipping,Pre-Owned,False,False
"new 3ds XL console for parts (scratched touch screen, appears to be modded)",C $124.99,+C $25.00 shipping,Parts Only,False,False
